2017-01-26 09:24:49 [main] INFO  net.codog.ProjectApplication - Starting ProjectApplication on wenhanwang with PID 6820 (started by CreditEase in E:\我的项目\GitHub\personal-blog-webiste\project)
2017-01-26 09:24:50 [main] INFO  net.codog.ProjectApplication - The following profiles are active: prod
2017-01-26 09:24:49 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2017-01-26 09:24:51 [main] INFO  org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4d0f2471: startup date [Thu Jan 26 09:24:51 CST 2017]; root of context hierarchy
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$1e9d2fd4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d58af9b6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration' of type [class org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration$$EnhancerBySpringCGLIB$$1310f478] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.cache-org.springframework.boot.autoconfigure.cache.CacheProperties' of type [class org.springframework.boot.autoconfigure.cache.CacheProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.cache.CacheManagerCustomizers' of type [class org.springframework.boot.autoconfigure.cache.CacheManagerCustomizers] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.cache.SimpleCacheConfiguration' of type [class org.springframework.boot.autoconfigure.cache.SimpleCacheConfiguration$$EnhancerBySpringCGLIB$$b4ac6759] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [class org.springframework.cache.concurrent.ConcurrentMapCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:52 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheAutoConfigurationValidator' of type [class org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration$CacheManagerValidator] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-01-26 09:24:53 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 80 (http)
2017-01-26 09:24:53 [main] INFO  org.apache.catalina.core.StandardService - Starting service Tomcat
2017-01-26 09:24:53 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.5
2017-01-26 09:24:53 [localhost-startStop-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2017-01-26 09:24:53 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2716 ms
2017-01-26 09:24:54 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2017-01-26 09:24:54 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2017-01-26 09:24:54 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-01-26 09:24:54 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-01-26 09:24:54 [localhost-startStop-1] INFO  org.springframework.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4d0f2471: startup date [Thu Jan 26 09:24:51 CST 2017]; root of context hierarchy
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/advertise/getadvertises],methods=[POST]}" onto public java.util.List<net.codog.domain.Advertise> net.codog.web.AdvertiseController.getAdvertise()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/blog/getblogcategories],methods=[POST]}" onto public java.util.List<net.codog.domain.BlogCategory> net.codog.web.BlogController.getBlogCategories(java.lang.Integer)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/blog/getblogcount],methods=[POST]}" onto public java.lang.Integer net.codog.web.BlogController.getBlogCount(java.lang.Integer)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/blog/getblogs],methods=[POST]}" onto public java.util.List<net.codog.domain.Blog> net.codog.web.BlogController.getBlogs(java.lang.Integer,java.lang.Integer,java.lang.Integer,java.lang.Integer)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/gamevideo/getgamevideoscount],methods=[POST]}" onto public java.lang.Integer net.codog.web.GameVideoController.getGameVideosCount(java.lang.Integer)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/gamevideo/getgamevideos],methods=[POST]}" onto public java.util.List<net.codog.domain.GameVideo> net.codog.web.GameVideoController.getGameVideos(java.lang.Integer,java.lang.Integer,java.lang.Integer)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/guestbook/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<java.util.List<net.codog.domain.Guestbook>> net.codog.web.GuestbookController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/message/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<java.util.List<net.codog.domain.Message>> net.codog.web.MessageController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/news/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<java.util.List<net.codog.domain.News>> net.codog.web.NewsController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/news/getnewscount],methods=[POST]}" onto public int net.codog.web.NewsController.getNewsCount()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/news/getnewslist],methods=[POST]}" onto public java.util.List<net.codog.domain.News> net.codog.web.NewsController.getNewsList()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/recommand/getrecommands],methods=[POST]}" onto public java.util.List<net.codog.domain.Recommand> net.codog.web.RecommandController.getRecommands()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/searchcategory/getsearchcategories],methods=[POST]}" onto public java.util.List<net.codog.domain.SearchCategory> net.codog.web.SearchCategoryController.getSearchCategories()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/register],methods=[POST]}" onto public net.codog.vo.ResponseVO<java.lang.String> net.codog.web.UserController.register(javax.servlet.http.HttpServletRequest,java.lang.String,java.lang.String)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/user/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<net.codog.view.UserShowDetail> net.codog.web.UserController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/userfile/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<java.util.List<net.codog.domain.UserfulFile>> net.codog.web.UserfulFileController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/userurl/test],methods=[GET]}" onto public net.codog.vo.ResponseVO<java.util.List<net.codog.domain.UserfulUrl>> net.codog.web.UserfulUrlController.test()
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-01-26 09:24:55 [main] INFO  org.springframework.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-01-26 09:24:55 [main] WARN  org.springframework.boot.autoconfigure.thymeleaf.AbstractTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2017-01-26 09:24:56 [main] INFO  org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WelcomePageHandlerMapping - Adding welcome page: class path resource [public/index.html]
2017-01-26 09:24:57 [main] INFO  org.springframework.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2017-01-26 09:24:57 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2017-01-26 09:24:57 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler [http-nio-80]
2017-01-26 09:24:57 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2017-01-26 09:24:57 [main] INFO  org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainer - Tomcat started on port(s): 80 (http)
2017-01-26 09:24:57 [main] INFO  net.codog.ProjectApplication - Started ProjectApplication in 8.475 seconds (JVM running for 10.786)
2017-01-26 09:25:21 [http-nio-80-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2017-01-26 09:25:21 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2017-01-26 09:25:21 [http-nio-80-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 37 ms
2017-01-26 09:25:22 [http-nio-80-exec-9] INFO  net.codog.service.NewsService - start is null,end is null
2017-01-26 09:25:22 [http-nio-80-exec-6] INFO  net.codog.service.SearchCategoryService - SearchCategoryService
